age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,threshold
17,0,0,4,0,3,4,1,0,0,40,0
17,4,6,4,8,3,2,0,0,0,40,0
17,4,11,4,8,3,4,1,0,0,40,0
17,0,0,4,0,3,4,1,0,0,40,0
17,4,0,4,8,3,4,1,0,0,40,0
17,4,1,4,1,3,4,1,0,0,40,0
17,6,0,4,5,3,4,1,0,0,35,0
17,4,1,4,8,3,4,1,0,0,40,0
17,0,1,4,0,3,4,0,0,0,35,0
17,4,1,4,8,3,4,1,0,0,40,0
17,4,0,4,7,1,4,1,0,0,40,0
17,4,1,4,9,3,4,0,0,0,40,0
17,4,1,4,6,3,4,1,0,0,40,0
17,0,1,4,0,3,4,1,0,0,40,0
17,0,1,4,0,3,4,0,0,0,40,0
17,4,6,4,8,3,2,1,0,0,40,0
17,0,0,4,0,3,4,0,0,0,40,0
17,4,1,4,5,3,4,1,0,0,45,0
17,4,0,4,8,2,4,1,0,0,40,0
17,5,6,4,12,3,4,0,0,0,40,0
17,4,1,4,12,1,4,0,0,0,36,0
17,0,0,4,0,3,4,1,0,0,40,0
17,4,1,4,10,3,4,1,0,0,40,0
17,4,2,4,12,3,4,1,0,0,40,0
17,0,0,4,0,3,2,0,0,0,40,0
17,4,1,4,14,1,4,1,0,0,40,0
17,4,4,4,8,2,4,1,0,0,48,0
17,5,0,4,8,3,2,1,0,0,35,0
17,1,1,4,1,1,2,0,0,1602,40,0
17,4,1,4,12,3,2,0,0,0,35,0
17,4,5,4,3,1,4,1,0,0,45,0
17,0,6,4,0,3,2,1,0,0,40,0
17,4,1,4,3,3,4,1,594,0,40,0
17,4,1,4,12,3,4,0,0,0,35,0
17,4,6,4,8,3,2,1,0,0,35,0
17,2,1,4,3,3,4,1,0,0,35,0
17,4,6,4,3,2,4,1,0,0,40,0
17,2,0,4,5,3,4,1,0,0,40,0
17,0,15,4,0,3,1,0,0,0,40,0
17,4,11,4,4,3,4,0,0,0,35,0
17,4,1,4,11,3,4,0,0,0,40,0
17,0,1,6,0,3,4,1,0,0,40,0
17,0,1,4,0,3,2,0,0,0,40,0
17,4,0,4,8,2,4,1,0,0,35,0
17,0,1,4,0,3,4,1,0,0,40,0
17,0,2,4,0,3,4,0,0,0,40,0
17,7,0,4,5,3,4,1,0,0,40,0
17,5,0,4,3,3,4,1,0,0,40,0
17,4,11,4,8,3,4,0,0,0,40,0
17,4,6,4,3,3,4,1,0,0,40,0
17,0,0,4,0,3,4,1,0,1721,40,0
17,4,0,4,3,3,3,0,0,0,35,0
17,0,0,4,0,3,4,1,0,0,40,0
